SOURCE_SYSTEM_CODE,SOURCE_FEED_CODE,STAGE_NAME,SOURCE_FILE_PATH,SOURCE_FILE_NAME_PATTERN,DESTINATION_SCHEMA_NAME,DESTINATION_TABLE_NAME,IS_ENABLED,FILE_FORMAT,DATE_INPUT_FORMAT,TIMESTAMP_INPUT_FORMAT,SKIP_ROW_ON_ERROR,DELETE_STAGE_BY_FILE_NAME,TIMEZONE
AMS,AcntProdTypeMap,STAGING.EXTSTAGE_AZUREDL_RAPTORDATA,\\mfil\|:ENVIRONMENT:|dfs\fsroot\sfs-|:ENVIRONMENT:|\hd\system\input\|:YYYYMMDD:|,,STAGING,ACNT_PROD_TYPE_MAP,TRUE,CSV_FORMAT,DD/MM/YYYY,DD/MM/YYYY HH24:MI:SS.FF3,0,FALSE,Europe/London
AMS,AgentPrincipalMap,STAGING.EXTSTAGE_AZUREDL_RAPTORDATA,\\mfil\|:ENVIRONMENT:|dfs\fsroot\sfs-|:ENVIRONMENT:|\hd\system\input\|:YYYYMMDD:|,,STAGING,AGENT_PRINCIPAL_MAP,TRUE,CSV_FORMAT,DD/MM/YYYY,DD/MM/YYYY HH24:MI:SS.FF3,0,FALSE,Europe/London
AMS,EntityAcntMap,STAGING.EXTSTAGE_AZUREDL_RAPTORDATA,\\mfil\|:ENVIRONMENT:|dfs\fsroot\sfs-|:ENVIRONMENT:|\hd\system\input\|:YYYYMMDD:|,,STAGING,ENTITY_ACNT_MAP,TRUE,CSV_FORMAT,DD/MM/YYYY,DD/MM/YYYY HH24:MI:SS.FF3,0,FALSE,Europe/London
AMS,EntityAcntMapWithMBS,STAGING.EXTSTAGE_AZUREDL_RAPTORDATA,\\mfil\|:ENVIRONMENT:|dfs\fsroot\sfs-|:ENVIRONMENT:|\hd\system\input\|:YYYYMMDD:|,,STAGING,ENTITY_ACNT_MAP_WITH_MBS,FALSE,CSV_FORMAT,DD/MM/YYYY,DD/MM/YYYY HH24:MI:SS.FF3,0,FALSE,Europe/London
AMS,EntityInfo,STAGING.EXTSTAGE_AZUREDL_RAPTORDATA,\\mfil\|:ENVIRONMENT:|dfs\fsroot\sfs-|:ENVIRONMENT:|\hd\system\input\|:YYYYMMDD:|,,STAGING,ENTITY_INFO,TRUE,CSV_FORMAT,DD/MM/YYYY,DD/MM/YYYY HH24:MI:SS.FF3,0,FALSE,Europe/London
BIStatic,CounterpartyTier,STAGING.EXTSTAGE_AZUREDL_RAPTORDATA,\\mfil\|:ENVIRONMENT:|dfs\fsroot\sfs-|:ENVIRONMENT:|\raptor\extracts\General\BIStatic,,STAGING,COUNTERPARTY_TIER,TRUE,CSV_FORMAT,DD/MM/YYYY,DD/MM/YYYY HH24:MI:SS.FF3,0,FALSE,Europe/London
BIStatic,DowngradeTrigger_AgencyRatingNumber,STAGING.EXTSTAGE_AZUREDL_RAPTORDATA,\\mfil\|:ENVIRONMENT:|dfs\fsroot\sfs-|:ENVIRONMENT:|\raptor\extracts\General\BIStatic,,STAGING,DOWNGRADE_TRIGGER_AGENCY_RATING_NUMBER,TRUE,CSV_FORMAT,DD/MM/YYYY,DD/MM/YYYY HH24:MI:SS.FF3,0,FALSE,Europe/London
BIStatic,Global_CDSStaticOverride,STAGING.EXTSTAGE_AZUREDL_RAPTORDATA,\\mfil\|:ENVIRONMENT:|dfs\fsroot\sfs-|:ENVIRONMENT:|\raptor\extracts\General\BIStatic,,STAGING,GLOBAL_CDS_STATIC_OVERRIDE,TRUE,CSV_FORMAT,DD/MM/YYYY,DD/MM/YYYY HH24:MI:SS.FF3,0,FALSE,Europe/London
BIStatic,Global_Date,STAGING.EXTSTAGE_AZUREDL_RAPTORDATA,\\mfil\|:ENVIRONMENT:|dfs\fsroot\sfs-|:ENVIRONMENT:|\raptor\extracts\General\BIStatic,,STAGING,GLOBAL_DATE,TRUE,CSV_FORMAT,DD/MM/YYYY,DD/MM/YYYY HH24:MI:SS.FF3,0,FALSE,Europe/London
BIStatic,Global_Entity,STAGING.EXTSTAGE_AZUREDL_RAPTORDATA,\\mfil\|:ENVIRONMENT:|dfs\fsroot\sfs-|:ENVIRONMENT:|\raptor\extracts\General\BIStatic,,STAGING,GLOBAL_ENTITY,TRUE,CSV_FORMAT,DD/MM/YYYY,DD/MM/YYYY HH24:MI:SS.FF3,0,FALSE,Europe/London
